rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
129,luissuarez9,85.0,,,,,,,
130,gusttavolima,76.0,,,,,,,Brazil
131,jannatzubair29,84.0,,,,,,,
132,varundvn,84.0,,,,,,,India
133,hrithikroshan,85.0,,,,,,,C̫te d'Ivoire
134,nickyjampr,81.0,,,,,,,Colombia
135,buzzfeedtasty,85.0,,,,,,,Spain
136,brunamarquezine,84.0,,,,,,,United States
137,caradelevingne,86.0,,,,,,,United States
138,kapilsharma,83.0,,,,,,,
139,badbunnypr,83.0,,,,,,,
140,britneyspears,80.0,,,,,,,Turkey
141,j.m,83.0,,,,,,,
142,mariliamendoncacantora,73.0,,,,,,,Brazil
143,norafatehi,83.0,,,,,,,Anguilla
144,theweeknd,83.0,,,,,,,
145,dior,85.0,,,,,,,
146,ranveersingh,85.0,,,,,,,Switzerland
147,marinaruybarbosa,81.0,,,,,0.0,,Brazil
148,jenniferaniston,85.0,,,,,,,
149,addisonraee,85.0,,,,,,,
150,andresiniesta8,85.0,,,,,,,Spain
151,princessyahrini,81.0,,,,,,,Indonesia
152,liverpoolfc,75.0,,,,,,,United Kingdom
153,teddysphotos,80.0,,,,,,,United States
154,worldstar,78.0,,,,,,,United States
155,natashawilona12,84.0,,,,,,,
156,mahi7781,58.0,,,,,0.0,,
157,georginagio,74.0,,,,,,,
158,cznburak,80.0,,,,,,,
159,chrissyteigen,79.0,,,,,,,United States
160,ruben_onsu,75.0,,,,,,,Indonesia
161,wizkhalifa,80.0,,,,,,,United States
162,hm,83.0,,,,,,,Sweden
163,anushkasen0408,85.0,,,,,,,
164,prattprattpratt,84.0,,,,,,,
165,marvelstudios,83.0,,,,,,,
166,wesleysafadao,80.0,,,,,0.0,,
167,parineetichopra,84.0,,,,,,,
168,rkive,83.0,,,,,0.0,,
169,laudyacynthiabella,76.0,,,,,,,Indonesia
170,antogriezmann,83.0,,,,,,,France
171,gisel_la,85.0,,,,,,,
172,eminem,84.0,,,,,,,United States
173,mercedesbenz,77.0,,,,,,,British Virgin Islands
174,colesprouse,81.0,,,,,,,
175,nattinatasha,47.0,,,,,,,Czech Republic
