rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,60_day_eng_rate_percent,influence_score_percent,avg_likes_per_post_calc
64,anitta,82.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,82.0,
65,sooyaaa__,82.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,82.0,
66,maluma,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,0.0,84.0,
67,akshaykumar,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
68,jacquelinef143,85.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,85.0,
69,psg,86.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,86.0,
70,roses_are_rosie,82.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,82.0,
71,manchesterunited,85.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,0.0,85.0,
72,anushkasharma,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
73,whinderssonnunes,79.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,79.0,
74,9gag,86.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,86.0,
75,marcelotwelve,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,86.0,
76,milliebobbybrown,80.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,80.0,
77,karimbenzema,42.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain,0.0,42.0,
78,chrishemsworth,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,0.0,86.0,
79,karolg,83.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,83.0,
80,paulpogba,80.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,80.0,
81,iamzlatanibrahimovic,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,86.0,
82,leonardodicaprio,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,86.0,
83,juventus,87.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,87.0,
84,zacefron,86.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,86.0,
85,bellahadid,79.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,0.0,79.0,
86,tatawerneck,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,86.0,
87,beingsalmankhan,76.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,76.0,
88,robertdowneyjr,86.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,86.0,
